codigo,servicio,tela_fina,jeans,cuero_gamuza,categoria,ninguna,fiesta
1,Ruedo a Máquina sólo con Overlock,15000    ,20000    ,25000    ,PANTALONES Y SHORT,0    ,0    
1,Ruedo a Máquina ,20000    ,25000    ,30000    ,PANTALONES Y SHORT,0    ,0    
1,Ruedo a Mano (invisible),25000    ,30000    ,35000    ,PANTALONES Y SHORT,0    ,0    
1,Ruedo con collareta,30000    ,0    ,0    ,PANTALONES Y SHORT,0    ,0    
1,Ruedo con vuelta,20000    ,25000    ,30000    ,PANTALONES Y SHORT,0    ,0    
1,Ruedo forrado,30000    ,35000    ,40000    ,PANTALONES Y SHORT,0    ,0    
1,Achicar cintura Pantalón,30000    ,35000    ,40000    ,PANTALONES Y SHORT,0    ,0    
1,Achicar cadera Pantalón,30000    ,35000    ,40000    ,PANTALONES Y SHORT,0    ,0    
1,Achicar cintura y cadera Pantalón,30000    ,35000    ,40000    ,PANTALONES Y SHORT,0    ,0    
1,Estrechar/Achicar pierna Pantalón (achupinar),25000    ,30000    ,35000    ,PANTALONES Y SHORT,0    ,0    
1,Estrechar/Achicar pierna pantalón de traje,40000    ,45000    ,50000    ,PANTALONES Y SHORT,0    ,0    
1,Achicar cintura Pantalón Forrado,30000    ,35000    ,40000    ,PANTALONES Y SHORT,0    ,0    
1,Achicar cadera Pantalón Forrado,30000    ,35000    ,40000    ,PANTALONES Y SHORT,0    ,0    
1,Achicar cintura y cadera Pantalón Forrado,30000    ,35000    ,40000    ,PANTALONES Y SHORT,0    ,0    
1,Achicar Pantalón Completo,50000    ,55000    ,60000    ,PANTALONES Y SHORT,0    ,0    
1,Achicar cintura Short,30000    ,35000    ,40000    ,PANTALONES Y SHORT,0    ,0    
1,Achicar cadera Short,30000    ,35000    ,40000    ,PANTALONES Y SHORT,0    ,0    
1,Achicar cadera y cintura Short,30000    ,35000    ,40000    ,PANTALONES Y SHORT,0    ,0    
1,Estrechar/Achicar pierna Short,20000    ,25000    ,30000    ,PANTALONES Y SHORT,0    ,0    
1,Achicar Short Completo,45000    ,50000    ,55000    ,PANTALONES Y SHORT,0    ,0    
1,Agrandar cintura y cadera (sin tela),35000    ,40000    ,45000    ,PANTALONES Y SHORT,0    ,0    
1,Agrandar cintura (sin tela),35000    ,40000    ,45000    ,PANTALONES Y SHORT,0    ,0    
1,Agrandar cadera  (sin tela),35000    ,40000    ,45000    ,PANTALONES Y SHORT,0    ,0    
1,Agrandar pierna  (sin tela),35000    ,40000    ,45000    ,PANTALONES Y SHORT,0    ,0    
1,Agrandar pantalón entero (sin tela),40000    ,45000    ,50000    ,PANTALONES Y SHORT,0    ,0    
1,Cierre normal ,15000    ,20000    ,25000    ,PANTALONES Y SHORT,0    ,0    
1,Cierre invisible ,20000    ,25000    ,30000    ,PANTALONES Y SHORT,0    ,0    
1,Cierre pantalón forrado,20000    ,25000    ,30000    ,PANTALONES Y SHORT,0    ,0    
1,Tiro Pantalón/Short ,20000    ,25000    ,30000    ,PANTALONES Y SHORT,0    ,0    
1,Cambiar bolsillos ,25000    ,30000    ,35000    ,PANTALONES Y SHORT,0    ,0    
1,Hacer bolsillos (sin tela),25000    ,30000    ,35000    ,PANTALONES Y SHORT,0    ,0    
1,Forrar Pantalón ,45000    ,50000    ,55000    ,PANTALONES Y SHORT,0    ,0    
1,Bajar pretina ,35000    ,40000    ,45000    ,PANTALONES Y SHORT,0    ,0    
1,Cambiar elástico cintura ,25000    ,30000    ,35000    ,PANTALONES Y SHORT,0    ,0    
1,Eliminar pinzas  ,15000    ,20000    ,25000    ,PANTALONES Y SHORT,0    ,0    
1,Eliminar bolsillos,20000    ,25000    ,30000    ,PANTALONES Y SHORT,0    ,0    
1,Abertura Pantalón,20000    ,25000    ,30000    ,PANTALONES Y SHORT,0    ,0    
1,Parche a mano - costura invisible,25000    ,30000    ,35000    ,PANTALONES Y SHORT,0    ,0    
1,Parche a máquina  - costura invisible,20000    ,25000    ,30000    ,PANTALONES Y SHORT,0    ,0    
1,Parche pegado,20000    ,25000    ,30000    ,PANTALONES Y SHORT,0    ,0    
2,Ruedo sin Abertura ,30000    ,35000    ,40000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,Ruedo con Abertura ,30000    ,35000    ,40000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,Cerrar Abertura ,30000    ,35000    ,40000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,Ruedo Mangas,25000    ,30000    ,35000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,Ruedo Manga con martillo ,35000    ,40000    ,45000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,Achicar Blazer/saco/suéter Completo,45000    ,50000    ,55000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,Achicar Cintura ,35000    ,40000    ,45000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,"Achicar Hombros, Sisa o Mangas",30000    ,35000    ,40000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,Achicar Hombro y Mangas ,40000    ,45000    ,50000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,Achicar hombros y/o mangas de traje,45000    ,50000    ,55000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,Achicar solapa,30000    ,35000    ,40000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,Agrandar Blazer/saco/suéter (sin tela),45000    ,50000    ,55000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,Cambiar forro ,45000    ,50000    ,55000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
2,Cambiar/colocar hombreras,20000    ,25000    ,30000    ,"BLAZERS, SACOS Y SUÉTERES",0    ,0    
3,Ruedo a Máquina Falda,20000    ,25000    ,30000    ,FALDAS,0    ,0    
3,Ruedo a Mano Falda,25000    ,30000    ,35000    ,FALDAS,0    ,0    
3,Ruedo a Mano Forrado Falda,30000    ,35000    ,40000    ,FALDAS,0    ,0    
3,Ruedo con collareta,30000    ,0    ,0    ,FALDAS,0    ,0    
3,Achicar Cintura Falda Sin Forro,30000    ,35000    ,40000    ,FALDAS,0    ,0    
3,Achicar Cadera Falda Sin Forro,30000    ,35000    ,40000    ,FALDAS,0    ,0    
3,Achicar cadera y cintura falda sin forro,30000    ,35000    ,40000    ,FALDAS,0    ,0    
3,Achicar Cintura Falda con Forro,25000    ,30000    ,35000    ,FALDAS,0    ,0    
3,Achicar Cadera Falda con Forro,25000    ,30000    ,35000    ,FALDAS,0    ,0    
3,Achicar cintura y cadera falda con forro,25000    ,30000    ,35000    ,FALDAS,0    ,0    
3,Agrandar Cintura Falda (sin tela),20000    ,25000    ,30000    ,FALDAS,0    ,0    
3,Agrandar Cadera Falda (sin tela),20000    ,25000    ,30000    ,FALDAS,0    ,0    
3,Agrandar cadera y cintura falda (sin tela),20000    ,25000    ,30000    ,FALDAS,0    ,0    
3,Cierre normal Falda,15000    ,20000    ,25000    ,FALDAS,0    ,0    
3,Cierre invisible Falda,20000    ,25000    ,30000    ,FALDAS,0    ,0    
3,Cierre Normal Falda Forrada,20000    ,25000    ,30000    ,FALDAS,0    ,0    
3,Cierre Invisible Falda Forrada,25000    ,30000    ,35000    ,FALDAS,0    ,0    
3,Forrar Falda,30000    ,35000    ,40000    ,FALDAS,0    ,0    
3,Ruedo palazo con collareta,35000    ,40000    ,45000    ,FALDAS,0    ,0    
4,Ruedo a Máquina ,20000    ,25000    ,30000    ,VESTIDOS,0    ,0    
4,Ruedo a Mano ,25000    ,30000    ,35000    ,VESTIDOS,0    ,0    
4,Ruedo a Mano Vestido Forrado,30000    ,35000    ,40000    ,VESTIDOS,0    ,0    
4,Ruedo con collareta,35000    ,0    ,0    ,VESTIDOS,0    ,0    
4,Achicar Vestido completo sin tocar cierre,40000    ,45000    ,50000    ,VESTIDOS,0    ,0    
4,Achicar Vestido completo tocando cierre,45000    ,50000    ,55000    ,VESTIDOS,0    ,0    
4,Achicar Cintura Vestido,35000    ,40000    ,45000    ,VESTIDOS,0    ,0    
4,Achicar sisa (bajo brazo o en hombro),30000    ,35000    ,40000    ,VESTIDOS,0    ,0    
4,Agrandar Vestido sin tocar cierre (sin tela),40000    ,45000    ,50000    ,VESTIDOS,0    ,0    
4,Agrandar Vestido tocando cierre (sin tela),45000    ,50000    ,55000    ,VESTIDOS,0    ,0    
4,Cierre Normal Vestido,20000    ,25000    ,30000    ,VESTIDOS,0    ,0    
4,Cierre Invisible Vestido,25000    ,30000    ,35000    ,VESTIDOS,0    ,0    
4,Cierre Normal Vestido Forrado,25000    ,30000    ,35000    ,VESTIDOS,0    ,0    
4,Cierre Invisible Vestido Forrado,30000    ,35000    ,40000    ,VESTIDOS,0    ,0    
4,Forrar Vestido,40000    ,45000    ,50000    ,VESTIDOS,0    ,0    
4,Subir Tirantes Vestidos (Finos),20000    ,25000    ,30000    ,VESTIDOS,0    ,0    
4,Subir Tirantes Vestidos (Gruesos/Forrados),25000    ,30000    ,35000    ,VESTIDOS,0    ,0    
4,Colocar tirantes ,20000    ,25000    ,30000    ,VESTIDOS,0    ,0    
4,Subir Mangas Vestidos,30000    ,35000    ,40000    ,VESTIDOS,0    ,0    
5,Ruedos ,0    ,0    ,0    ,ABRIGOS Y GABARDINAS,35000    ,0    
5,Ruedo Mangas ,0    ,0    ,0    ,ABRIGOS Y GABARDINAS,25000    ,0    
5,Ruedo Mangas Martillo,0    ,0    ,0    ,ABRIGOS Y GABARDINAS,35000    ,0    
5,Achicar Abrigo / Gabardina Completo,0    ,0    ,0    ,ABRIGOS Y GABARDINAS,50000    ,0    
5,Achicar Cintura,0    ,0    ,0    ,ABRIGOS Y GABARDINAS,35000    ,0    
5,"Achicar Hombros, Sisa o Mangas",0    ,0    ,0    ,ABRIGOS Y GABARDINAS,30000    ,0    
5,Achicar Hombros y Mangas,0    ,0    ,0    ,ABRIGOS Y GABARDINAS,40000    ,0    
5,Agrandar Abrigo / Gabardina (sin tela),0    ,0    ,0    ,ABRIGOS Y GABARDINAS,45000    ,0    
5,Cambiar Cuello Abrigo / Gabardina,0    ,0    ,0    ,ABRIGOS Y GABARDINAS,45000    ,0    
5,Elástico Puños Abrigo / Gabardina,0    ,0    ,0    ,ABRIGOS Y GABARDINAS,20000    ,0    
5,Elástico Cadera Abrigo / Gabardina,0    ,0    ,0    ,ABRIGOS Y GABARDINAS,30000    ,0    
5,Forrar Abrigo / Gabardina,0    ,0    ,0    ,ABRIGOS Y GABARDINAS,50000    ,0    
5,Cierre Chaqueta Abrigo / Gabardina,0    ,0    ,0    ,ABRIGOS Y GABARDINAS,35000    ,0    
6,Ruedo Camisa / Blusas a máquina,0    ,0    ,0    ,CAMISAS Y BLUSAS,25000    ,0    
6,Ruedo Camisa / Blusa a mano,0    ,0    ,0    ,CAMISAS Y BLUSAS,30000    ,0    
6,Ruedo Camisa / Blusa con collareta,0    ,0    ,0    ,CAMISAS Y BLUSAS,35000    ,0    
6,Puños Camisa /Blusa,0    ,0    ,0    ,CAMISAS Y BLUSAS,20000    ,0    
6,Hacer Cuello Camisa / Blusa,0    ,0    ,0    ,CAMISAS Y BLUSAS,30000    ,0    
6,Dar vuelta cuello ,0    ,0    ,0    ,CAMISAS Y BLUSAS,15000    ,0    
6,Achicar Camisa/Blusa Completa Mujer,0    ,0    ,0    ,CAMISAS Y BLUSAS,40000    ,0    
6,Achicar Cintura Camisa/Blusa Mujer,0    ,0    ,0    ,CAMISAS Y BLUSAS,30000    ,0    
6,"Achicar Hombros, Sisa o Mangas Camisa/Blusa Mujer",0    ,0    ,0    ,CAMISAS Y BLUSAS,25000    ,0    
6,Achicar Hombros y Mangas Camisa/Blusa Mujer,0    ,0    ,0    ,CAMISAS Y BLUSAS,35000    ,0    
6,Achicar Camisa Completa Caballero,0    ,0    ,0    ,CAMISAS Y BLUSAS,45000    ,0    
6,Achicar Cintura Camisa Caballero,0    ,0    ,0    ,CAMISAS Y BLUSAS,35000    ,0    
6,"Achicar Hombros, Sisa o Mangas Camisa Caballero",0    ,0    ,0    ,CAMISAS Y BLUSAS,30000    ,0    
6,Achicar Hombros y Mangas Camisa Caballero,0    ,0    ,0    ,CAMISAS Y BLUSAS,40000    ,0    
